Number,Pilot,Assistant,Config file,Assignee,Notes
38,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_good.ckpt,med_mars_experiment_12.json,,
39,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_good_small_window.ckpt,med_mars_experiment_13.json,,
40,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_good_small_window_future.ckpt,med_mars_experiment_14.json,,
41,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_good_med.ckpt,med_mars_experiment_15.json,,
42,pilot_mars_gru_med_small_window_future,assistant_mars_rnn_all_prof.ckpt,med_mars_experiment_16.json,,
43,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_good.ckpt,med_mars_experiment_17.json,,
44,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_good_small_window.ckpt,med_mars_experiment_18.json,,
45,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_good_small_window_future.ckpt,med_mars_experiment_19.json,,
46,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_good_med.ckpt,med_mars_experiment_20.json,,
47,pilot_mars_gru_med_small_window_future,assistant_mars_lstm_all_prof.ckpt,med_mars_experiment_21.json,,
48,pilot_mars_gru_med_small_window_future,assistant_mars_gru_good.ckpt,med_mars_experiment_22.json,,
49,pilot_mars_gru_med_small_window_future,assistant_mars_gru_good_small_window.ckpt,med_mars_experiment_23.json,,
50,pilot_mars_gru_med_small_window_future,assistant_mars_gru_good_small_window_future.ckpt,med_mars_experiment_24.json,,
51,pilot_mars_gru_med_small_window_future,assistant_mars_gru_good_med.ckpt,med_mars_experiment_25.json,,
52,pilot_mars_gru_med_small_window_future,assistant_mars_gru_all_prof.ckpt,med_mars_experiment_26.json,,
53,pilot_mars_mlp_bad_window,sac_penalizeDeflection.zip,bad_mars_experiment_01.json,,
54,pilot_mars_mlp_bad_window,sac_bc_new_100_epochs.zip,bad_mars_experiment_02.json,,
55,pilot_mars_mlp_bad_window,sac_airl_300k.zip,bad_mars_experiment_03.json,,
56,pilot_mars_mlp_bad_window,ddpg_penalizeDeflection.zip,bad_mars_experiment_04.json,,
57,pilot_mars_mlp_bad_window,ddpg_bc_new_100_epochs.zip,bad_mars_experiment_05.json,,
58,pilot_mars_mlp_bad_window,assistant_mars_mlp_good.ckpt,bad_mars_experiment_06.json,,
59,pilot_mars_mlp_bad_window,assistant_mars_mlp_good_window.ckpt,bad_mars_experiment_07.json,,
60,pilot_mars_mlp_bad_window,assistant_mars_mlp_good_small_window.ckpt,bad_mars_experiment_08.json,,
61,pilot_mars_mlp_bad_window,assistant_mars_mlp_good_small_window_future.ckpt,bad_mars_experiment_09.json,,
62,pilot_mars_mlp_bad_window,assistant_mars_mlp_good_med.ckpt,bad_mars_experiment_10.json,,
63,pilot_mars_mlp_bad_window,assistant_mars_mlp_all_prof.ckpt,bad_mars_experiment_11.json,,
64,pilot_mars_mlp_bad_window,assistant_mars_rnn_good.ckpt,bad_mars_experiment_12.json,,
65,pilot_mars_mlp_bad_window,assistant_mars_rnn_good_small_window.ckpt,bad_mars_experiment_13.json,,
66,pilot_mars_mlp_bad_window,assistant_mars_rnn_good_small_window_future.ckpt,bad_mars_experiment_14.json,,
67,pilot_mars_mlp_bad_window,assistant_mars_rnn_good_med.ckpt,bad_mars_experiment_15.json,,
68,pilot_mars_mlp_bad_window,assistant_mars_rnn_all_prof.ckpt,bad_mars_experiment_16.json,,
69,pilot_mars_mlp_bad_window,assistant_mars_lstm_good.ckpt,bad_mars_experiment_17.json,,
70,pilot_mars_mlp_bad_window,assistant_mars_lstm_good_small_window.ckpt,bad_mars_experiment_18.json,,
71,pilot_mars_mlp_bad_window,assistant_mars_lstm_good_small_window_future.ckpt,bad_mars_experiment_19.json,,
72,pilot_mars_mlp_bad_window,assistant_mars_lstm_good_med.ckpt,bad_mars_experiment_20.json,,
73,pilot_mars_mlp_bad_window,assistant_mars lstm_all_prof.ckpt,bad_mars_experiment_21.json,,
74,pilot_mars_mlp_bad_window,assistant_mars_gru_good.ckpt,bad_mars_experiment_22.json,,
75,pilot_mars_mlp_bad_window,assistant_mars_gru_good_small_window.ckpt,bad_mars_experiment_23.json,,
76,pilot_mars_mlp_bad_window,assistant_mars_gru_good_small_window_future.ckpt,bad_mars_experiment_24.json,,
77,pilot_mars_mlp_bad_window,assistant_mars_gru_good_med.ckpt,bad_mars_experiment_25.json,,
78,pilot_mars_mlp_bad_window,assistant_mars_gru_all_prof.ckpt,bad_mars_experiment_26.json,,
79,pilot_vip_lstm_good_small_window,sac_penalizeDeflection.zip,good_vip_experiment_01.json,,
80,pilot_vip_lstm_good_small_window,sac_bc_new_100_epochs.zip,good_vip_experiment_02.json,,
81,pilot_vip_lstm_good_small_window,sac_airl_300k.zip,good_vip_experiment_03.json,,
82,pilot_vip_lstm_good_small_window,ddpg_penalizeDeflection.zip,good_vip_experiment_04.json,,
83,pilot_vip_lstm_good_small_window,ddpg_bc_new_100_epochs.zip,good_vip_experiment_05.json,,
84,pilot_vip_lstm_good_small_window,assistant_mars_mlp_good.ckpt,good_vip_experiment_06.json,,
85,pilot_vip_lstm_good_small_window,assistant_mars_mlp_good_window.ckpt,good_vip_experiment_07.json,,
86,pilot_vip_lstm_good_small_window,assistant_mars_mlp_good_small_window.ckpt,good_vip_experiment_08.json,,
87,pilot_vip_lstm_good_small_window,assistant_mars_mlp_good_small_window_future.ckpt,good_vip_experiment_09.json,,
88,pilot_vip_lstm_good_small_window,assistant_mars_mlp_good_med.ckpt,good_vip_experiment_10.json,,
89,pilot_vip_lstm_good_small_window,assistant_mars_mlp_all_prof.ckpt,good_vip_experiment_11.json,,
90,pilot_vip_lstm_good_small_window,assistant_mars_rnn_good.ckpt,good_vip_experiment_12.json,,
91,pilot_vip_lstm_good_small_window,assistant_mars_rnn_good_small_window.ckpt,good_vip_experiment_13.json,,
92,pilot_vip_lstm_good_small_window,assistant_mars_rnn_good_small_window_future.ckpt,good_vip_experiment_14.json,,
93,pilot_vip_lstm_good_small_window,assistant_mars_rnn_good_med.ckpt,good_vip_experiment_15.json,,
94,pilot_vip_lstm_good_small_window,assistant_mars_rnn_all_prof.ckpt,good_vip_experiment_16.json,,
95,pilot_vip_lstm_good_small_window,assistant_mars_lstm_good.ckpt,good_vip_experiment_17.json,,
96,pilot_vip_lstm_good_small_window,assistant_mars_lstm_good_small_window.ckpt,good_vip_experiment_18.json,,
97,pilot_vip_lstm_good_small_window,assistant_mars_lstm_good_small_window_future.ckpt,good_vip_experiment_19.json,,
98,pilot_vip_lstm_good_small_window,assistant_mars_lstm_good_med.ckpt,good_vip_experiment_20.json,,
99,pilot_vip_lstm_good_small_window,assistant_mars_lstm_all_prof.ckpt,good_vip_experiment_21.json,,
100,pilot_vip_lstm_good_small_window,assistant_mars_gru_good.ckpt,good_vip_experiment_22.json,,
101,pilot_vip_lstm_good_small_window,assistant_mars_gru_good_small_window.ckpt,good_vip_experiment_23.json,,
102,pilot_vip_lstm_good_small_window,assistant_mars_gru_good_small_window_future.ckpt,good_vip_experiment_24.json,,
103,pilot_vip_lstm_good_small_window,assistant_mars_gru_good_med.ckpt,good_vip_experiment_25.json,,
104,pilot_vip_lstm_good_small_window,assistant_mars_gru_all_prof.ckpt,good_vip_experiment_26.json,,
105,pilot_vip_gru_med_small_window_future,sac_penalizeDeflection.zip,med_vip_experiment_01.json,,
106,pilot_vip_gru_med_small_window_future,sac_bc_new_100_epochs.zip,med_vip_experiment_02.json,,
107,pilot_vip_gru_med_small_window_future,sac_airl_300k.zip,med_vip_experiment_03.json,,
108,pilot_vip_gru_med_small_window_future,ddpg_penalizeDeflection.zip,med_vip_experiment_04.json,,
109,pilot_vip_gru_med_small_window_future,ddpg_bc_new_100_epochs.zip,med_vip_experiment_05.json,,
110,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_good.ckpt,med_vip_experiment_06.json,,
111,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_good_window.ckpt,med_vip_experiment_07.json,,
112,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_good_small_window.ckpt,med_vip_experiment_08.json,,
113,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_good_small_window_future.ckpt,med_vip_experiment_09.json,,
114,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_good_med.ckpt,med_vip_experiment_10.json,,
115,pilot_vip_gru_med_small_window_future,assistant_mars_mlp_all_prof.ckpt,med_vip_experiment_11.json,,
116,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_good.ckpt,med_vip_experiment_12.json,,
117,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_good_small_window.ckpt,med_vip_experiment_13.json,,
118,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_good_small_window_future.ckpt,med_vip_experiment_14.json,,
119,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_good_med.ckpt,med_vip_experiment_15.json,,
120,pilot_vip_gru_med_small_window_future,assistant_mars_rnn_all_prof.ckpt,med_vip_experiment_16.json,,
121,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_good.ckpt,med_vip_experiment_17.json,,
122,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_good_small_window.ckpt,med_vip_experiment_18.json,,
123,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_good_small_window_future.ckpt,med_vip_experiment_19.json,,
124,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_good_med.ckpt,med_vip_experiment_20.json,,
125,pilot_vip_gru_med_small_window_future,assistant_mars_lstm_all_prof.ckpt,med_vip_experiment_21.json,,
126,pilot_vip_gru_med_small_window_future,assistant_mars_gru_good.ckpt,med_vip_experiment_22.json,,
127,pilot_vip_gru_med_small_window_future,assistant_mars_gru_good_small_window.ckpt,med_vip_experiment_23.json,,
128,pilot_vip_gru_med_small_window_future,assistant_mars_gru_good_small_window_future.ckpt,med_vip_experiment_24.json,,
129,pilot_vip_gru_med_small_window_future,assistant_mars_gru_good_med.ckpt,med_vip_experiment_25.json,,
130,pilot_vip_gru_med_small_window_future,assistant_mars_gru_all_prof.ckpt,med_vip_experiment_26.json,,
131,pilot_vip_mlp_bad_window,sac_penalizeDeflection.zip,bad_vip_experiment_01.json,,
132,pilot_vip_mlp_bad_window,sac_bc_new_100_epochs.zip,bad_vip_experiment_02.json,,
133,pilot_vip_mlp_bad_window,sac_airl_300k.zip,bad_vip_experiment_03.json,,
134,pilot_vip_mlp_bad_window,ddpg_penalizeDeflection.zip,bad_vip_experiment_04.json,,
135,pilot_vip_mlp_bad_window,ddpg_bc_new_100_epochs.zip,bad_vip_experiment_05.json,,
136,pilot_vip_mlp_bad_window,assistant_mars_mlp_good.ckpt,bad_vip_experiment_06.json,,
137,pilot_vip_mlp_bad_window,assistant_mars_mlp_good_window.ckpt,bad_vip_experiment_07.json,,
138,pilot_vip_mlp_bad_window,assistant_mars_mlp_good_small_window.ckpt,bad_vip_experiment_08.json,,
139,pilot_vip_mlp_bad_window,assistant_mars_mlp_good_small_window_future.ckpt,bad_vip_experiment_09.json,,
140,pilot_vip_mlp_bad_window,assistant_mars_mlp_good_med.ckpt,bad_vip_experiment_10.json,,
141,pilot_vip_mlp_bad_window,assistant_mars_mlp_all_prof.ckpt,bad_vip_experiment_11.json,,
142,pilot_vip_mlp_bad_window,assistant_mars_rnn_good.ckpt,bad_vip_experiment_12.json,,
143,pilot_vip_mlp_bad_window,assistant_mars_rnn_good_small_window.ckpt,bad_vip_experiment_13.json,,
144,pilot_vip_mlp_bad_window,assistant_mars_rnn_good_small_window_future.ckpt,bad_vip_experiment_14.json,,
145,pilot_vip_mlp_bad_window,assistant_mars_rnn_good_med.ckpt,bad_vip_experiment_15.json,,
146,pilot_vip_mlp_bad_window,assistant_mars_rnn_all_prof.ckpt,bad_vip_experiment_16.json,,
147,pilot_vip_mlp_bad_window,assistant_mars_lstm_good.ckpt,bad_vip_experiment_17.json,,
148,pilot_vip_mlp_bad_window,assistant_mars_lstm_good_small_window.ckpt,bad_vip_experiment_18.json,,
149,pilot_vip_mlp_bad_window,assistant_mars_lstm_good_small_window_future.ckpt,bad_vip_experiment_19.json,,
150,pilot_vip_mlp_bad_window,assistant_mars_lstm_good_med.ckpt,bad_vip_experiment_20.json,,
151,pilot_vip_mlp_bad_window,assistant_mars_lstm_all_prof.ckpt,bad_vip_experiment_21.json,,
152,pilot_vip_mlp_bad_window,assistant_mars_gru_good.ckpt,bad_vip_experiment_22.json,,
153,pilot_vip_mlp_bad_window,assistant_mars_gru_good_small_window.ckpt,bad_vip_experiment_23.json,,
154,pilot_vip_mlp_bad_window,assistant_mars_gru_good_small_window_future.ckpt,bad_vip_experiment_24.json,,
155,pilot_vip_mlp_bad_window,assistant_mars_gru_good_med.ckpt,bad_vip_experiment_25.json,,
156,pilot_vip_mlp_bad_window,assistant_mars_gru_all_prof.ckpt,bad_vip_experiment_26.json,,
